Location,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,38031000,40000100,39583400,39103800,38678300,31128900,25258600,23133400,23585300,23967400,24713200
Alabama,557000,609400,592000,571400,582200,517300,446000,403100,414500,441600,417800
Alaska,110500,102900,111800,117000,107300,99400,84500,81500,79500,68800,65700
Arizona,888000,825400,853000,883300,901300,708100,573500,534400,544700,593700,631300
Arkansas,414700,441300,438900,424800,414600,302400,231100,199300,197800,210300,223400
California,5500500,5782700,5804900,5775500,5608500,4125600,2883700,2487100,2446600,2429800,2615400
Colorado,632100,642800,632500,615500,596300,461500,368400,350200,348800,355800,364900
Connecticut,265400,282600,272200,286600,287200,205900,178600,147200,168000,161000,174800
Delaware,76300,75300,69600,66700,77800,55500,44500,43900,43900,44700,53300
District of Columbia,36100,41300,39700,30300,36000,31100,21500,21200,21900,18300,20500
Florida,3086700,3313100,3313000,3254100,3291300,2763900,2297400,2190900,2292900,2349900,2378800
Georgia,1496200,1586600,1594500,1534800,1551700,1330000,1173700,1106100,1155400,1186100,1174000
Hawaii,73300,84400,81200,75700,81000,56400,46600,39400,41800,41200,44600
Idaho,206400,225000,202000,214800,214700,177900,155200,144900,157400,161000,159400
Illinois,1501200,1569200,1487300,1498400,1432200,1092900,792200,718500,744300,768700,769400
Indiana,725600,788900,775900,783000,753800,646000,511000,422300,435300,429800,451600
Iowa,218600,241800,229000,215000,223700,147500,120400,105400,111400,126000,124100
Kansas,285400,319000,303100,299200,293100,249600,220200,198700,199200,204500,215600
Kentucky,534700,574800,545000,513400,548000,324900,212700,185500,192000,203500,230300
Louisiana,665600,705300,703100,673000,679800,591500,501600,419200,340000,316300,345800
Maine,113900,126500,127200,120600,129900,109900,93700,88500,90500,89200,89900
Maryland,538200,555100,508300,520800,511300,401400,325300,303700,301000,299500,297600
Massachusetts,246700,251900,238400,227800,220300,191900,165100,145500,158700,162300,179500
Michigan,1079700,1086100,1043400,1008300,958300,724400,504300,441800,427300,455600,484900
Minnesota,366300,376000,368400,356800,353800,268600,195700,186700,197900,187800,217400
Mississippi,413700,448400,445000,433400,431000,371300,325800,302700,309500,315400,325300
Missouri,657300,671700,689000,696200,656500,575900,480900,452200,462800,480700,503000
Montana,147600,132500,151500,151600,139500,115300,98600,73300,77200,71600,70500
Nebraska,169200,182800,177800,170800,164300,144700,119100,134600,130500,127200,123400
Nevada,433500,466900,466300,475100,457700,351700,286700,269900,269300,273800,286800
New Hampshire,119400,127600,118400,129700,128800,105000,78800,73400,66500,62400,72900
New Jersey,916100,988400,986500,976900,1022500,845600,673600,592300,586100,557200,590800
New Mexico,325900,342300,351200,331800,337200,256500,193600,152000,158900,160600,169800
New York,1936300,2009700,1949900,1880100,1864500,1483100,1233800,1034000,970900,889800,878600
North Carolina,1247800,1357400,1334600,1372400,1329600,1129500,978400,912100,944500,957500,1010900
North Dakota,51300,54300,53300,60200,58900,45400,42600,40400,41600,44400,38000
Ohio,1181200,1201100,1175200,1139900,1089700,801200,602500,526800,542700,597500,620500
Oklahoma,546700,589500,567200,571200,548900,478800,451000,445600,452700,440300,484900
Oregon,543400,558800,525500,500900,510700,338600,242000,214300,243100,260200,252500
Pennsylvania,1033300,1091000,1079900,1042900,1042000,902400,657100,581800,550000,565700,577500
Rhode Island,100900,108800,101900,101700,106700,64000,44700,38500,40700,36100,38200
South Carolina,622700,673000,657100,662300,643400,569500,462500,426100,477800,460700,467500
South Dakota,91400,78000,78900,76600,85900,65800,76300,58800,63600,66400,66700
Tennessee,778300,799300,827900,778400,786000,674700,587800,531000,543200,588600,590400
Texas,4508200,4711700,4708300,4704300,4661100,4089300,3761000,3730200,3925600,4034800,4159000
Utah,297800,318700,312800,300400,293100,269600,238600,200300,209200,209000,221700
Vermont,47700,43900,40200,36000,37600,26500,22800,20100,23000,20100,25100
Virginia,754700,856400,847300,861200,858300,738000,642400,606200,615200,606900,551300
Washington,756700,820200,832100,824800,845300,548700,402400,375500,388400,429000,427300
West Virginia,227400,240000,256000,237500,224300,146100,87500,80000,90800,96200,100100
Wisconsin,433800,451400,443000,445500,437400,348200,272000,245900,236100,261000,276500
Wyoming,69500,69000,72100,75000,63200,59900,49000,50400,54900,49000,54300
Puerto Rico,274400,252300,241600,220000,198800,182100,168200,186800,195500,179300,218000
