Area_Code,Area,Region_Code,Region,Electorate,Votes_Cast,Valid_Votes,Remain,Leave,Rejected_Ballots,No_official_mark,Voting_for_both_answers,Writing_or_mark,Unmarked_or_void
E06000031,Peterborough,E12000006,East,120892,87469,87392,34176,53216,77,0,32,7,38
E06000032,Luton,E12000006,East,127612,84616,84481,36708,47773,135,0,85,0,50
E06000033,Southend-on-Sea,E12000006,East,128856,93939,93870,39348,54522,69,0,21,0,48
E06000034,Thurrock,E12000006,East,109897,79950,79916,22151,57765,34,0,8,3,23
E06000055,Bedford,E12000006,East,119530,86135,86066,41497,44569,69,0,26,1,42
E06000056,Central Bedfordshire,E12000006,East,204004,158894,158804,69670,89134,90,0,34,1,55
E07000008,Cambridge,E12000006,East,80108,57852,57799,42682,15117,53,0,13,0,40
E07000009,East Cambridgeshire,E12000006,East,62435,48124,48086,23599,24487,38,0,18,0,20
E07000010,Fenland,E12000006,East,71447,52649,52626,15055,37571,23,0,10,1,12
E07000011,Huntingdonshire,E12000006,East,128486,99990,99927,45729,54198,63,0,31,0,32
E07000012,South Cambridgeshire,E12000006,East,114830,93250,93189,56128,37061,61,0,24,0,37
E07000066,Basildon,E12000006,East,132771,98062,97999,30748,67251,63,3,26,2,32
E07000067,Braintree,E12000006,East,112562,86303,86236,33523,52713,67,0,23,0,44
E07000068,Brentwood,E12000006,East,58777,46725,46704,19077,27627,21,0,3,1,17
E07000069,Castle Point,E12000006,East,68860,51909,51845,14154,37691,64,0,15,1,48
E07000070,Chelmsford,E12000006,East,129971,100852,100794,47545,53249,58,0,23,2,33
E07000071,Colchester,E12000006,East,127520,95782,95719,44414,51305,63,2,17,5,39
E07000072,Epping Forest,E12000006,East,100016,76900,76852,28676,48176,48,0,21,2,25
E07000073,Harlow,E12000006,East,59124,43489,43469,13867,29602,20,0,1,0,19
E07000074,Maldon,E12000006,East,49073,38850,38831,14529,24302,19,1,9,1,8
E07000075,Rochford,E12000006,East,66589,52479,52447,17510,34937,32,0,13,1,18
E07000076,Tendring,E12000006,East,111167,82703,82657,25210,57447,46,0,17,2,27
E07000077,Uttlesford,E12000006,East,64735,51972,51943,25619,26324,29,0,5,0,24
E07000095,Broxbourne,E12000006,East,68997,50907,50872,17166,33706,35,0,14,0,21
